,Voltage,tx_3
465,4.66,-772.905417614
466,4.67,-772.377963079
467,4.68,-771.955037761
468,4.69,-771.81930824
469,4.7,-771.529598933
470,4.71,-771.039847043
471,4.72,-770.619216668
472,4.73,-770.009089523
473,4.74,-769.821942337
474,4.75,-769.396995283
475,4.76,-769.022482346
476,4.77,-768.552456043
477,4.78,-768.317606816
478,4.79,-768.024673659
479,4.8,-767.509021691
480,4.81,-767.232207782
481,4.82,-766.843050919
482,4.83,-766.196313959
483,4.84,-766.059983382
484,4.85,-765.975398318
485,4.86,-765.293417582
486,4.87,-764.900381172
487,4.88,-764.430464151
488,4.89,-764.18823832
489,4.9,-763.818424553
490,4.91,-763.273757941
491,4.92,-763.308018171
492,4.93,-762.944214971
493,4.94,-762.051481915
494,4.95,-762.165955887
495,4.96,-761.625551313
496,4.97,-761.168748256
497,4.98,-760.871061288
498,4.99,-760.602826096
499,5.0,-760.329017469
