,Voltage,rx_1
416,4.17,-799.420102998
417,4.18,-798.985812245
418,4.19,-798.830466421
419,4.2,-798.219847502
420,4.21,-797.933471327
421,4.22,-797.555461333
422,4.23,-797.082866879
423,4.24,-796.845012368
424,4.25,-796.249255941
425,4.26,-796.05757351
426,4.27,-795.655630533
427,4.28,-795.320459486
428,4.29,-794.789125404
429,4.3,-794.398875711
430,4.31,-794.129984821
431,4.32,-793.735145241
432,4.33,-793.302821582
433,4.34,-793.065130996
434,4.35,-792.467899248
435,4.36,-792.191413187
436,4.37,-791.958858903
437,4.38,-791.293817037
438,4.39,-791.241033334
439,4.4,-790.885535644
440,4.41,-790.25633861
441,4.42,-789.960509454
442,4.43,-789.699650866
443,4.44,-789.212303202
444,4.45,-788.924342424
445,4.46,-788.446557025
446,4.47,-788.108380695
447,4.48,-787.714415379
448,4.49,-787.332908328
449,4.5,-786.71256322
450,4.51,-786.258055107
451,4.52,-786.113965434
452,4.53,-785.856986394
453,4.54,-785.607438599
454,4.55,-785.005944813
455,4.56,-784.862237631
456,4.57,-784.169273951
457,4.58,-783.954969933
458,4.59,-783.762413238
459,4.6,-783.229112061
460,4.61,-782.63718054
461,4.62,-782.332718024
462,4.63,-781.893236327
463,4.64,-781.726087936
464,4.65,-781.252947066
465,4.66,-780.83805405
466,4.67,-780.383108805
467,4.68,-780.523482854
468,4.69,-779.685063463
469,4.7,-779.620805043
470,4.71,-779.263285617
471,4.72,-778.963194422
472,4.73,-778.503440723
473,4.74,-777.944621959
474,4.75,-777.743486546
475,4.76,-777.316736322
476,4.77,-776.758737181
477,4.78,-776.671911815
478,4.79,-776.446242362
479,4.8,-775.576841233
480,4.81,-775.401114124
481,4.82,-775.186810106
482,4.83,-774.918083141
483,4.84,-774.336697432
484,4.85,-773.980544043
485,4.86,-773.471995473
486,4.87,-773.152998314
487,4.88,-772.964703657
488,4.89,-772.646252913
489,4.9,-772.323321565
490,4.91,-771.755814801
491,4.92,-771.427528585
492,4.93,-771.277810836
493,4.94,-770.691015618
494,4.95,-770.129683344
495,4.96,-769.814620375
496,4.97,-769.643537794
497,4.98,-769.232797534
498,4.99,-768.903473129
499,5.0,-1022.19989398
